Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-08-26,6717.0,6755.1,6565.0,6701.6,79.34558673,528581.47780007,6661.7627972019
2018-08-25,6677.8,6786.3,6657.3,6735.1,110.99763185,744787.12630687,6709.9370850845
2018-08-24,6519.1,6709.3,6464.05,6676.5,111.90493202,731620.43828246,6537.8748288923
2018-08-23,6359.53,6535.4,6355.4,6511.9,129.47917924,832912.5954601,6432.7917457388
2018-08-22,6480.83,6863.47,6250.0,6340.51,320.11272648,2090095.3958166,6529.2480520832
2018-08-21,6258.9,6490.81,6256.03,6471.21,134.81586844,862366.38323691,6396.6237299484
2018-08-20,6489.4,6520.8,6256.01,6262.34,155.05038217,996037.10108359,6423.9577300204
2018-08-19,6402.1,6542.0,6335.6,6486.9,141.56235149,907754.83147706,6412.4028876504
2018-08-18,6588.7,6615.5,6327.3,6405.6,144.29028005,930099.03524567,6446.0269598435
2018-08-17,6325.5,6583.88,6304.2,6582.64,143.91470967,931340.32065259,6471.4741306721
2018-08-16,6254.2,6464.37,6220.4,6320.35,158.13156447,1001337.3497989,6332.3053379953
2018-08-15,6190.0,6593.4,6185.48,6264.6,329.42363576,2096869.9769319,6365.2687582489
2018-08-14,6275.3,6277.36,5925.0,6190.0,247.52604608,1508130.2475557,6092.814358083
2018-08-13,6340.8,6537.4,6161.0,6281.65,138.19145507,876809.78178167,6344.8914503254
2018-08-12,6257.83,6467.09,6190.3,6332.3,222.34440971,1410609.3175798,6344.2535812778
2018-08-11,6200.0,6490.89,6091.4,6258.19,279.52838822,1743475.0699855,6237.202171442
2018-08-10,6557.41,6580.2,6052.6,6189.0,266.46978864,1689880.5256179,6341.7340263698
2018-08-09,6270.28,6618.69,6205.9,6535.31,346.38714236,2220166.0246656,6409.4931744267
2018-08-08,6714.5,6714.5,6115.0,6271.94,261.1632522,1664258.0463638,6372.4817038553
2018-08-07,6931.1,7134.08,6685.34,6707.5,175.13800628,1210509.1626489,6911.7445628199
2018-08-06,7028.0,7150.92,6825.5,6930.86,111.06554942,774725.1686023,6975.3868111942
2018-08-05,7007.18,7058.05,6880.49,7037.1,80.71704204,562952.70070762,6974.397060148
2018-08-04,7399.1,7460.24,6914.7,7003.5,122.71697824,874756.84323189,7128.2462767385
2018-08-03,7530.96,7541.39,7287.4,7399.09,90.09788849,666491.36460206,7397.4138103806
2018-08-02,7593.74,7673.4,7457.63,7534.9,74.00927568,559681.04957306,7562.309513648
2018-08-01,7708.59,7731.72,7439.9,7592.8,96.10036102,725713.97147554,7551.6258604326
2018-07-31,8138.0,8141.3,7636.0,7717.34,118.72305546,935314.53045873,7878.1204445488
2018-07-30,8186.2,8237.3,7846.24,8153.99,74.17402943,599034.08197706,8076.0622900012
2018-07-29,8211.7,8241.3,8130.0,8176.3,31.43844783,257183.91697137,8180.5538989096
2018-07-28,8184.76,8213.8,8053.0,8203.7,36.20538576,295530.6893023,8162.6167792088
2018-07-27,7928.28,8257.9,7779.0,8167.25,58.46128177,468574.26578843,8015.1213179333
2018-07-26,8157.66,8286.2,7834.7,7922.5,145.28310873,1183028.4314639,8142.9179331678
2018-07-25,8351.2,8475.8,8023.21,8152.6,124.28041266,1023524.6841386,8235.6073835926
2018-07-24,7713.94,8462.81,7700.74,8385.1,137.232087,1101739.9400706,8028.2969104052
2018-07-23,7379.1,7794.2,7372.39,7713.94,140.71797869,1079991.4731735,7674.8648838447
2018-07-22,7401.87,7528.63,7326.03,7395.43,100.61959331,746368.56200756,7417.7258867273
2018-07-21,7336.8,7438.3,7207.43,7409.7,87.5915357,642555.48488012,7335.8170940268
2018-07-20,7434.83,7615.82,7287.2,7336.96,138.95135914,1036154.2987047,7456.9569172812
2018-07-19,7310.12,7462.4,7258.53,7435.96,36.64818563,269289.73305707,7347.9690311499
2018-07-18,7299.3,7488.7,7203.51,7311.11,57.10607673,420509.71079805,7363.6596116773
2018-07-17,6731.9,7425.0,6660.54,7299.3,178.58190822,1242245.1066529,6956.1643675718
2018-07-16,6342.4,6747.35,6318.0,6728.3,125.62379297,817392.16055235,6506.6667804526
2018-07-15,6255.1,6389.99,6220.5,6342.7,69.20477786,437499.47951226,6321.8103293
2018-07-14,6222.4,6300.0,6200.0,6248.03,59.39939829,370787.53389634,6242.2776083704
2018-07-13,6230.7,6325.0,6123.7,6218.3,65.19554975,406476.51458032,6234.7279245133
2018-07-12,6371.64,6371.64,6077.51,6225.3,132.92559354,824934.08220261,6205.9838157079
2018-07-11,6312.7,6395.28,6290.8,6377.6,93.68009392,594277.81084153,6343.6935849896
2018-07-10,6653.1,6674.59,6275.99,6308.4,121.59359681,784744.36995808,6453.8297290794
2018-07-09,6691.7,6788.0,6635.0,6647.98,94.8955666,635810.54263067,6700.1079756519
2018-07-08,6739.65,6740.0,6658.96,6691.7,37.1669,249622.81448,6716.2667448725
2018-07-07,6595.91,6748.8,6499.4,6724.47,89.20359711,587945.2238574,6591.0483759123
2018-07-06,6541.37,6612.9,6441.6,6595.1,112.26231748,734472.60337506,6542.4678544152
2018-07-05,6574.0,6652.6,6450.0,6539.9,152.75474299,1004111.1626133,6573.3550589589
2018-07-04,6505.9,6766.89,6406.63,6573.5,95.8203204,627062.37184537,6544.1481433971
2018-07-03,6610.0,6650.2,6461.5,6503.3,86.0556059,565534.14873968,6571.7293234429
2018-07-02,6349.89,6660.3,6291.8,6600.0,147.96077627,964723.11550252,6520.1274271641
2018-07-01,6389.1,6436.1,6267.6,6355.6,47.92488482,304276.75461923,6349.0346562555
2018-06-30,6195.7,6475.74,6194.5,6382.2,132.26834386,841189.54403993,6359.7193363991
2018-06-29,5882.0,6284.59,5826.7,6191.0,155.93093917,936092.18257837,6003.2485378532
2018-06-28,6155.47,6175.8,5855.07,5885.8,196.26485309,1188924.7108673,6057.7566087296
2018-06-27,6071.13,6180.0,6045.9,6157.8,122.49120713,748701.87124372,6112.2907414009
2018-06-26,6253.5,6295.6,6053.1,6086.7,122.00070092,758370.02532418,6216.1120354667
2018-06-25,6170.0,6350.0,6087.76,6251.5,139.33367306,869093.68039792,6237.499244161
2018-06-24,6195.1,6274.1,5859.7,6170.8,271.95081605,1664176.1655672,6119.4012569583
2018-06-23,6119.79,6273.0,6089.32,6195.0,89.9208919,556844.72204215,6192.6067488456
2018-06-22,6732.7,6752.3,5944.3,6119.5,217.81455613,1380295.3791451,6337.0208294127
2018-06-21,6770.6,6812.99,6696.81,6737.6,78.02521486,526939.03367083,6753.4454678057
2018-06-20,6748.3,6807.7,6584.4,6765.3,121.47610623,812784.83950555,6690.9029662726
2018-06-19,6710.0,6799.7,6673.0,6750.2,83.55415208,561886.96358453,6724.8239566424
2018-06-18,6466.6,6762.0,6401.72,6701.7,161.34953344,1062026.424778,6582.1474790499
2018-06-17,6509.11,6564.0,6458.0,6464.7,48.79719211,318363.06752918,6524.20874569
2018-06-16,6429.0,6550.02,6355.95,6506.7,93.16764564,604325.94329337,6486.4357056793
2018-06-15,6665.87,6684.8,6400.0,6415.1,129.73290345,850236.84985243,6553.7487194227
2018-06-14,6339.4,6730.32,6300.61,6659.9,236.42661608,1539650.774978,6512.1719394614
2018-06-13,6582.3,6666.4,6260.0,6337.2,304.7635293,1979000.6120908,6493.5611443937
2018-06-12,6902.2,6936.55,6521.2,6585.9,136.73741302,910928.28007578,6661.8803146622
2018-06-11,6784.2,6937.45,6674.8,6937.45,135.60413371,919533.27274744,6781.0121092174
2018-06-10,7511.7,7511.7,6681.28,6791.7,142.16301513,999481.90713698,7030.5339699148
2018-06-09,7625.22,7684.5,7496.6,7507.2,44.04418024,335572.87293443,7619.0059868494
2018-06-08,7688.3,7706.4,7554.2,7626.9,48.0787793,366620.41763986,7625.4102740886
2018-06-07,7671.0,7751.7,7649.3,7699.7,99.39848935,764303.97721341,7689.2916805019
2018-06-06,7622.3,7700.0,7455.5,7663.6,89.0683047,674492.18809505,7572.7520622165
